id,url,label,title,created_time,last_activity_date
59835749,https://stackoverflow.com/questions/59835749/implement-data-generator-in-federated-training,"['tensorflow', 'keras', 'tensorflow-federated', 'federated-learning']",Implement data generator in federated training,2020-01-21 15:04:28,2020-11-28 18:57:46
62993389,https://stackoverflow.com/questions/62993389/change-of-the-dataset-type-in-the-execution-stack,"['python', 'tensorflow', 'tensorflow-federated']",Change of the dataset type in the execution stack,2020-07-20 18:26:46,2020-07-23 11:51:13
63043501,https://stackoverflow.com/questions/63043501/what-exactly-happens-when-we-call-iterativeprocess-next-on-federated-training-da,['tensorflow-federated'],What exactly happens when we call IterativeProcess.next on federated training data?,2020-07-23 05:30:49,2020-07-24 12:25:48
63229611,https://stackoverflow.com/questions/63229611/learning-rate-setting-when-calling-the-function-tff-learning-build-federated-ave,['tensorflow-federated'],Learning rate setting when calling the function tff.learning.build_federated_averaging_process,2020-08-03 20:39:40,2020-08-04 16:35:54
68412517,https://stackoverflow.com/questions/68412517/build-custom-federated-averaging-process-with-valueerror-layer-sequential-expec,"['python', 'tensorflow', 'tensorflow-federated']","Build Custom Federated averaging process with ValueError: Layer sequential expects 1 inputs, but it received 3 input tensors",2021-07-17 00:39:46,2021-07-19 00:51:55
57323598,https://stackoverflow.com/questions/57323598/is-tensorflow-federated-learning-only-for-simulating-federated-learning-on-one-m,"['tensorflow', 'tensorflow-federated']",Is Tensorflow Federated-Learning only for simulating federated learning on one machine?,2019-08-02 17:27:29,2019-08-03 06:29:45
61152605,https://stackoverflow.com/questions/61152605/async-fl-model,['tensorflow-federated'],Async - FL Model,2020-04-11 13:42:46,2020-05-10 21:24:16
63456963,https://stackoverflow.com/questions/63456963/other-compression-methods-for-federated-learning,['tensorflow-federated'],Other compression methods for Federated Learning,2020-08-18 02:51:15,2020-08-18 20:34:57
63498907,https://stackoverflow.com/questions/63498907/is-there-a-way-for-tff-clients-to-have-internal-states,['tensorflow-federated'],Is there a way for TFF clients to have internal states?,2020-08-20 13:39:16,2021-08-25 22:44:41
63723518,https://stackoverflow.com/questions/63723518/tensorflowfederated-passing-tensor-to-tff-federated-computation,['tensorflow-federated'],TensorFlowFederated: Passing tensor to tff.federated_computation,2020-09-03 20:17:49,2021-08-27 08:02:32
64791796,https://stackoverflow.com/questions/64791796/linear-regression-using-tf-data-with-federated-core-api-and-data-on-remote-execu,"['tensorflow2.0', 'tensorflow-datasets', 'tensorflow-federated']",Linear regression using tf.data with federated core API and data on remote execution client,2020-11-12 02:06:23,2020-11-18 12:58:37
65434193,https://stackoverflow.com/questions/65434193/multi-gpu-tff-simulation-errors-detected-dataset-reduce-op-in-multi-gpu-tff-sim,"['tensorflow', 'gpu', 'tensorflow-federated']",Multi-GPU TFF simulation errors &quot;Detected dataset reduce op in multi-GPU TFF simulation&quot;,2020-12-24 13:03:21,2020-12-31 14:14:13
65447819,https://stackoverflow.com/questions/65447819/add-other-metrics-to-compute-performance,"['tensorflow', 'tensorflow2.0', 'tensorflow-federated']",Add other metrics to compute performance,2020-12-25 19:50:56,2020-12-29 18:35:07
65943395,https://stackoverflow.com/questions/65943395/track-privacy-guarantees-in-a-federated-learning-process-with-dp-query,"['tensorflow2.0', 'tensorflow-federated']",Track privacy guarantees in a federated learning process with DP-query,2021-01-29 02:47:42,2021-01-31 04:56:19
66206118,https://stackoverflow.com/questions/66206118/typeerror-expected-tensorflow-python-framework-tensor-spec-tensorspec-found-nu,['tensorflow-federated'],"TypeError: Expected tensorflow.python.framework.tensor_spec.TensorSpec, found numpy.ndarray",2021-02-15 18:12:18,2021-02-16 01:42:11
66259690,https://stackoverflow.com/questions/66259690/tff-test-accuracy-fluctuate,"['tensorflow-federated', 'federated-learning']",TFF : test accuracy fluctuate,2021-02-18 20:10:21,2021-03-03 15:22:26
66557738,https://stackoverflow.com/questions/66557738/exploding-memory-consumption-when-training-fl-model-with-varying-number-of-parti,['tensorflow-federated'],Exploding memory consumption when training FL model with varying number of participants per round,2021-03-10 11:00:00,2021-03-23 02:24:37
