url,label,title,comments,created_time,updated_time,closed_time
https://github.com/FederatedAI/FATE/issues/3132,[],运行出现奇怪错误，急需帮助,2,2021-09-24 03:08:30,2021-09-24 09:47:18,2021-09-24 09:47:18
https://github.com/FederatedAI/FATE/issues/2977,[],"""predict_score"" for logistic regression test on Fate Board wrong in magnitude",1,2021-08-17 08:35:39,2021-08-18 08:55:19,2021-08-18 08:55:19
https://github.com/FederatedAI/FATE/issues/2955,[],Poor Implementation of SPDZ protocol,3,2021-08-09 03:56:36,2021-08-25 10:11:15,2021-08-25 10:11:15
https://github.com/FederatedAI/FATE/issues/2909,[],pipeline: command not found,1,2021-07-23 03:35:07,2021-07-23 07:43:35,2021-07-23 07:43:35
https://github.com/FederatedAI/FATE/issues/2893,[],发布模型时一个成功一个失败,3,2021-07-19 09:47:31,2021-09-28 02:01:02,2021-08-26 03:00:03
https://github.com/FederatedAI/FATE/issues/2845,[],Homogeneous Logistic Regression using Gradient Aggregation not implemented?,2,2021-06-27 06:51:10,2021-07-06 01:18:13,2021-07-06 01:18:13
https://github.com/FederatedAI/FATE/issues/2834,[],Homogeneous Neural Network,2,2021-06-16 13:52:27,2021-06-22 12:50:51,2021-06-22 12:50:51
https://github.com/FederatedAI/FATE/issues/2820,[],No module named 'pipeline,1,2021-06-07 10:40:40,2021-07-09 03:13:25,2021-07-09 03:13:25
https://github.com/FederatedAI/FATE/issues/2817,[],BUG：Please check that you are connecting to the correct HDFS RPC port,1,2021-06-01 15:17:39,2021-06-02 01:15:28,2021-06-02 01:15:07
https://github.com/FederatedAI/FATE/issues/2758,['bug'],Homo_onehot存在特征不能对齐的bug！,1,2021-04-23 07:15:31,2021-06-09 03:28:45,2021-06-09 03:28:45
https://github.com/FederatedAI/FATE/issues/2752,[],请问下，现在serving支持dsl_v2了吗？（因模型部署上线后预测无结果而有的猜疑....）,4,2021-04-19 09:47:17,2021-04-21 07:24:10,2021-04-21 07:24:10
https://github.com/FederatedAI/FATE/issues/2751,[],安装fate-client之后无法使用flow命令,1,2021-04-17 15:23:03,2021-04-25 06:04:56,2021-04-25 06:04:56
https://github.com/FederatedAI/FATE/issues/2748,[],车联网与联邦学习结合的话用standalone还是cluster,2,2021-04-15 12:03:27,2021-05-26 13:40:04,2021-05-26 13:40:04
https://github.com/FederatedAI/FATE/issues/2746,[],Where is the proto_generate.sh?,1,2021-04-14 10:38:29,2021-07-09 03:15:40,2021-07-09 03:15:40
https://github.com/FederatedAI/FATE/issues/2744,[],NameError: name 'mpa' is not defined,2,2021-04-13 13:02:48,2021-04-25 06:11:04,2021-04-25 06:10:13
https://github.com/FederatedAI/FATE/issues/2742,[],请问一下FATE对具体的Linux版本有要求吗？比如SUSE、centos，或者 ubantu这些linux都支持吗？,1,2021-04-13 01:14:41,2021-05-26 13:40:21,2021-05-26 13:40:21
https://github.com/FederatedAI/FATE/issues/2739,[],fate集群，使用mnist训练数据模型，按照彭路工程师发布的博客操作，为什么任务出错了？,1,2021-04-08 12:45:01,2021-04-11 05:05:26,2021-04-11 05:05:26
https://github.com/FederatedAI/FATE/issues/2665,[],evaluation评测结果是否又bug？！,2,2021-03-19 07:25:11,2021-04-05 02:03:26,2021-04-05 02:03:25
https://github.com/FederatedAI/FATE/issues/2646,[],请教Homo_LR训练卡在initialized model！！,1,2021-03-13 07:25:50,2021-04-23 02:55:55,2021-04-23 02:55:55
https://github.com/FederatedAI/FATE/issues/2643,[],lmdb.MemoryError: Cannot allocate memory,2,2021-03-12 02:59:55,2021-04-23 02:56:09,2021-04-23 02:56:09
https://github.com/FederatedAI/FATE/issues/2641,[],Homo OneHot Encoder是否有bug,1,2021-03-11 02:58:27,2021-06-09 03:29:15,2021-06-09 03:29:15
https://github.com/FederatedAI/FATE/issues/2639,[],OnehotEncoder逻辑是否有Bug,4,2021-03-10 15:22:18,2021-07-02 08:14:41,2021-07-02 08:14:41
https://github.com/FederatedAI/FATE/issues/2619,[],"运行dsl v2中的hetero fast secureboost报错""__init__() got an unexpected keyword argument 'sparse_optmization'""",5,2021-02-26 17:25:30,2021-09-15 08:04:43,2021-09-15 08:04:43
https://github.com/FederatedAI/FATE/issues/2452,[],线性回归模型在线测试无预测结果,1,2021-01-07 02:46:35,2021-01-15 08:42:48,2021-01-15 08:42:48
https://github.com/FederatedAI/FATE/issues/2449,[],"Pipeline Examples 'Connection refused, Please check if the fate flow service is started'",3,2021-01-06 08:53:33,2021-01-06 12:05:02,2021-01-06 12:05:02
https://github.com/FederatedAI/FATE/issues/2440,[],为什么按照案例跑不起来,4,2021-01-04 09:48:45,2021-05-15 15:13:10,2021-01-05 05:55:23
https://github.com/FederatedAI/FATE/issues/2423,[],Fate1.5版本交集组件报错(get_commit_id),1,2020-12-25 08:24:16,2021-04-23 02:55:11,2021-04-23 02:55:11
https://github.com/FederatedAI/FATE/issues/2412,[],集群部署的情况下，跑quick测试，任务创建成功之后一直wait,3,2020-12-17 06:30:54,2021-03-19 10:41:58,2021-03-19 10:41:58
https://github.com/FederatedAI/FATE/issues/2355,[],Failed to install fate_flow while running pip3 install fate-client,1,2020-11-24 09:24:17,2020-12-02 09:26:04,2020-12-02 09:26:04
https://github.com/FederatedAI/FATE/issues/2345,[],求大佬告知应该如何写预测请求,3,2020-11-23 14:03:35,2020-11-25 06:25:55,2020-11-25 06:25:41
https://github.com/FederatedAI/FATE/issues/2332,[],Fate 1.5 run /fate_flow/examples/test_predict_conf.json,4,2020-11-18 09:21:30,2020-11-19 07:31:25,2020-11-19 07:31:25
https://github.com/FederatedAI/FATE/issues/2331,[],Find a typo: sparse_optmization should be sparse_optimization,2,2020-11-17 10:55:50,2021-09-15 08:04:58,2021-09-15 08:04:58
https://github.com/FederatedAI/FATE/issues/2325,[],"使用1.5.0 All in one 部署FATE集群，Mysqld无法启动【2003, ""Can't connect to MySQL server】",9,2020-11-16 01:18:44,2021-08-03 06:29:12,2020-11-16 08:57:42
https://github.com/FederatedAI/FATE/issues/2310,[],Deploy ansible-fate1.5 failed,1,2020-11-09 03:13:22,2020-11-09 07:13:31,2020-11-09 07:13:31
https://github.com/FederatedAI/FATE/issues/2202,[],pipeline API不兼容：'Reader' object has no attribute 'algorithm_param',1,2020-10-25 15:39:34,2020-10-27 04:20:59,2020-10-27 04:20:59
https://github.com/FederatedAI/FATE/issues/2153,[],"socket.gethostbyname(socket.getfqdn()) get gaierror: [Errno 8] nodename nor servname provided, or not known",2,2020-10-18 01:56:42,2020-11-11 12:35:51,2020-11-11 12:35:51
https://github.com/FederatedAI/FATE/issues/2082,[],Failed to release resource after fate_flow server crashed,1,2020-10-13 09:11:58,2021-06-23 06:23:29,2021-06-23 06:23:29
https://github.com/FederatedAI/FATE/issues/2029,[],逻辑回归对稀疏数据的训练结果很差,1,2020-10-05 14:42:22,2021-03-18 06:16:18,2021-03-18 06:16:18
https://github.com/FederatedAI/FATE/issues/1983,[],自定义算法的时候，上传错误脚本的缓存好像无法清空,1,2020-09-25 07:16:15,2020-11-03 09:53:01,2020-11-03 09:53:01
https://github.com/FederatedAI/FATE/issues/1824,[],"version 1.4.4, I can pass the Unit Test, but when I run 'python quick_run.py', get an error",1,2020-09-07 06:34:30,2020-09-08 04:17:05,2020-09-08 04:15:49
https://github.com/FederatedAI/FATE/issues/1792,[],官方data文件ionosphere_scale_hetero_host.csv是不是少了label？,1,2020-09-02 03:13:32,2020-09-02 03:14:43,2020-09-02 03:14:21
https://github.com/FederatedAI/FATE/issues/1699,[],单机部署时训练超过7k的数据量在hetero-lr组件会出现lmdb.Error,2,2020-08-13 05:11:00,2020-10-07 06:16:47,2020-10-07 06:16:47
https://github.com/FederatedAI/FATE/issues/1670,[],1.4.2版本Upload接口报400错误,2,2020-08-11 01:56:59,2021-03-30 06:53:56,2020-08-12 10:00:41
https://github.com/FederatedAI/FATE/issues/1624,[],特征分箱仅支持等频和等距分箱吗？跑最优分箱会报错,1,2020-07-30 08:15:58,2021-07-02 08:18:54,2021-07-02 08:18:54
https://github.com/FederatedAI/FATE/issues/1608,[],please start fate flow server.......,2,2020-07-28 01:40:00,2020-08-18 00:26:13,2020-07-28 01:41:41
https://github.com/FederatedAI/FATE/issues/1572,[],Fail to deploy stand-alone installation with Docker,1,2020-07-17 07:12:30,2020-08-17 06:21:55,2020-08-17 06:21:42
https://github.com/FederatedAI/FATE/issues/1551,['bug'],[SPDZ] Table-based implementation does not support multiple times’ operations,2,2020-07-11 17:10:25,2020-11-11 12:12:22,2020-11-11 12:12:21
